Filename, Scale, ShiftX, ShiftY, ProcessingTime(s)
IMG_20251102_233526.jpg, 0.30x, 15.9px, 2.0px, 0.31s
IMG_20251103_102301.jpg, 0.28x, 50.6px, 16.9px, 0.32s
IMG_20251104_120609.jpg, 0.29x, 54.6px, 7.9px, 0.31s
IMG_20251105_192314.jpg, 0.29x, 46.5px, 21.4px, 0.34s
IMG_20251107_080725.jpg, 0.30x, 36.5px, 31.9px, 0.32s
IMG_20251108_120858.jpg, 0.29x, 33.7px, 5.0px, 0.31s
IMG_20251109_072108.jpg, 0.28x, 68.4px, 28.7px, 0.31s
IMG_20251111_121736.jpg, 0.28x, 73.8px, 20.0px, 0.31s
IMG_20251113_131912.jpg, 0.30x, 35.8px, -1.3px, 0.35s
IMG_20251115_203343.jpg, 0.28x, 53.8px, 29.1px, 0.33s
IMG_20251117_113234.jpg, 0.30x, 39.6px, -10.8px, 0.34s
IMG_20251118_121132.jpg, 0.30x, 27.1px, 14.2px, 0.32s
IMG_20251119_215610.jpg, 0.27x, 73.1px, 48.0px, 0.32s
IMG_20251121_133354.jpg, 0.31x, 31.0px, -27.9px, 0.31s
IMG_20251122_160435.jpg, 0.31x, 24.3px, -27.2px, 0.32s
IMG_20251123_235323.jpg, 0.31x, 32.1px, -14.8px, 0.33s
IMG_20251124_215645.jpg, 0.29x, 55.4px, -5.9px, 0.31s
IMG_20251125_122137.jpg, 0.30x, 45.2px, -7.2px, 0.33s
IMG_20251126_154401.jpg, 0.29x, 47.1px, -10.3px, 0.32s
IMG_20251127_125926.jpg, 0.31x, 24.2px, -3.8px, 0.36s
IMG_20251128_111405.jpg, 0.30x, 61.2px, 8.5px, 0.32s
IMG_20251129_161430.jpg, 0.30x, 35.7px, 8.2px, 0.31s
IMG_20251130_172059.jpg, 0.30x, 26.0px, -1.0px, 0.33s
IMG_20251202_125002.jpg, 0.30x, -10.8px, -14.1px, 0.34s
IMG_20251204_193818.jpg, 0.29x, 12.2px, -7.3px, 0.34s
IMG_20251205_192931.jpg, 0.30x, 0.9px, -21.8px, 0.33s
IMG_20251206_122121.jpg, 0.30x, -20.0px, -12.7px, 0.33s
IMG_20251208_173453.jpg, 0.30x, -10.5px, -8.2px, 0.34s
IMG_20251209_172356.jpg, 0.29x, -10.2px, 12.8px, 0.34s
IMG_20251210_162620.jpg, 0.29x, -8.4px, -5.4px, 0.33s
IMG_20251211_161637.jpg, 0.30x, 6.2px, -16.0px, 0.34s
IMG_20251212_171240.jpg, 0.30x, -22.8px, 4.1px, 0.34s
IMG_20251215_131517.jpg, 0.30x, 1.3px, -23.5px, 0.34s
IMG_20251216_111349.jpg, 0.29x, -22.4px, 19.6px, 0.33s
IMG_20251218_110055.jpg, 0.31x, -41.9px, -4.0px, 0.35s
IMG_20251219_120339.jpg, 0.30x, -21.6px, -8.5px, 0.36s
IMG_20251220_131820.jpg, 0.30x, -20.3px, 18.8px, 0.33s
IMG_20251221_130713.jpg, 0.30x, 2.8px, -8.7px, 0.35s
IMG_20251222_111050.jpg, 0.28x, 29.3px, 13.4px, 0.34s
IMG_20251223_144347.jpg, 0.29x, 9.1px, 1.0px, 0.34s
IMG_20251226_121125.jpg, 0.30x, -7.8px, -13.9px, 0.33s
IMG_20251227_135015.jpg, 0.31x, -51.4px, 7.4px, 0.35s
IMG_20251228_172416.jpg, 0.29x, -15.3px, 19.2px, 0.35s
IMG_20251229_170444.jpg, 0.31x, -27.3px, -5.9px, 0.39s
IMG_20251231_112334.jpg, 0.29x, -2.1px, 7.8px, 0.33s
IMG_20260101_165544.jpg, 0.31x, -35.5px, 13.8px, 0.36s
IMG_20260102_160337.jpg, 0.30x, -11.1px, -13.6px, 0.32s
IMG_20260103_134155.jpg, 0.31x, -32.2px, 18.1px, 0.34s
IMG_20260104_165009.jpg, 0.29x, -21.3px, 9.1px, 0.33s
IMG_20260105_122053.jpg, 0.30x, -0.9px, -5.8px, 0.32s
IMG_20260106_140809.jpg, 0.30x, -16.5px, 0.0px, 0.34s
IMG_20260108_112634.jpg, 0.29x, 9.4px, 4.5px, 0.35s
IMG_20260109_143015.jpg, 0.28x, -2.6px, 24.6px, 0.35s
IMG_20260111_143720.jpg, 0.28x, 13.6px, 35.5px, 0.33s
IMG_20260112_163647.jpg, 0.28x, 15.6px, 15.5px, 0.36s
IMG_20260113_152441.jpg, 0.30x, -7.3px, -6.3px, 0.36s
IMG_20260114_161806.jpg, 0.27x, 7.4px, 24.7px, 0.32s
IMG_20260115_155935.jpg, 0.29x, -3.6px, 0.7px, 0.36s
IMG_20260116_180432.jpg, 0.29x, -5.5px, 11.5px, 0.33s
